company,sector,website,country,opportunity_type,source,source_url,signals,tech_stack,fit_score,risk_score,priority,decision_role,channel,recommended_message,next_action,status,notes,priority_score_num,recommended_action
Foodics,SaaS Restaurant,foodics.com,SA,DIRECT_CUSTOMER,public_page,https://foodics.com,Series C $170M + hiring sales + WhatsApp widget + HubSpot,HubSpot;WhatsApp Widget;GTM;HubSpot Forms;WordPress,27,LOW,P1,CEO,LINKEDIN_MANUAL,Series C onboarding scale hook,PREPARE_DM,queued,Tech confirmed: WhatsApp-native sales,78,PREPARE_DM
Lucidya,SaaS CXM,lucidya.com,SA,DIRECT_CUSTOMER,public_page,https://lucidya.com,Saudi native CXM + B2B enterprise,4 tools detected,27,LOW,P1,CEO,LINKEDIN_MANUAL,Surname affinity + CXM B2B angle,PREPARE_DM,queued,Priority — surname connection,70,PREPARE_DM
Sary,B2B Marketplace,sary.com,SA,DIRECT_CUSTOMER,public_page,https://sary.com,50K SMB retailers,3 tools,16,LOW,P2,Co-founder,LINKEDIN_MANUAL,Merchant success motion,PREPARE_DM,queued,,61,PREPARE_DM
Hakbah,Fintech,hakbah.sa,SA,DIRECT_CUSTOMER,public_page,https://hakbah.sa,4 tools detected,4 tools,24,LOW,P2,CEO,LINKEDIN_MANUAL,B2B partnerships angle,PREPARE_DM,queued,,61,PREPARE_DM
Lean Technologies,Fintech API,leantech.me,SA,DIRECT_CUSTOMER,public_page,https://leantech.me,300+ API customers + SE bottleneck,2 tools,21,LOW,P2,CEO,LINKEDIN_MANUAL,SE pre-qualification layer,PREPARE_DM,queued,API-first fintech,58,PREPARE_DM
Tamara,BNPL Fintech,tamara.co,SA,DIRECT_CUSTOMER,public_page,https://tamara.co,$2.4B raised + merchant onboarding,3 tools,21,LOW,P2,CEO,LINKEDIN_MANUAL,Arabic merchant onboarding at scale,PREPARE_DM,queued,,58,PREPARE_DM
Bayzat Saudi,HR SaaS,bayzat.com,AE-SA,DIRECT_CUSTOMER,public_page,https://bayzat.com,HR SaaS KSA expansion,1 tool,17,LOW,P2,Regional lead,LINKEDIN_MANUAL,KSA expansion acceleration,PREPARE_DM,queued,,47,PREPARE_DM
Jar,Fintech,jar-app.com,SA,DIRECT_CUSTOMER,knowledge,,Saudi savings/fintech,unknown,19,LOW,P2,Founder,LINKEDIN_MANUAL,B2B partnerships,PREPARE_DM,queued,,46,PREPARE_DM
BRKZ,ConTech,brkz.com,SA,DIRECT_CUSTOMER,public_page,https://brkz.com,$30M Stride debt,2 tools,15,LOW,P2,Founder,LINKEDIN_MANUAL,Quote workflow automation,PREPARE_DM,queued,Construction B2B,45,PREPARE_DM
Lucidya CTO,SaaS CXM,lucidya.com,SA,DIRECT_CUSTOMER,knowledge,,Technical angle to CTO,see Lucidya,17,LOW,P2,CTO,LINKEDIN_MANUAL,Technical integration angle,PREPARE_DM,queued,Secondary contact in Lucidya,45,PREPARE_DM
Hatem Kameli,SaaS CXM,lucidya.com,SA,DIRECT_CUSTOMER,knowledge,,Co-founder angle,see Lucidya,17,LOW,P2,Co-founder,LINKEDIN_MANUAL,Co-founder peer angle,PREPARE_DM,queued,Secondary contact in Lucidya,45,PREPARE_DM
Mosab Alothmani,SaaS Restaurant,foodics.com,SA,DIRECT_CUSTOMER,knowledge,,Co-founder of Foodics,see Foodics,17,LOW,P2,Co-founder,LINKEDIN_MANUAL,Co-founder alt path,PREPARE_DM,queued,Secondary contact in Foodics,45,PREPARE_DM
Rekaz,SMB SaaS,rekaz.io,SA,DIRECT_CUSTOMER,knowledge,,SMB SaaS Saudi,unknown,17,LOW,BACKLOG,Founder,LINKEDIN_MANUAL,Warehouse ops SaaS,PREPARE_DM,queued,,44,PREPARE_DM
Rewaa,POS SaaS,rewaa.com,SA,DIRECT_CUSTOMER,knowledge,,Saudi POS platform,unknown,17,LOW,BACKLOG,CEO,LINKEDIN_MANUAL,Merchant onboarding Arabic SDR,PREPARE_DM,queued,,44,PREPARE_DM
Oqua,Data SaaS,oqua.io,SA,DIRECT_CUSTOMER,knowledge,,Saudi data SaaS,unknown,17,LOW,BACKLOG,Founder,LINKEDIN_MANUAL,Peer SaaS founder,PREPARE_DM,queued,,44,PREPARE_DM
Elkab,Retail SaaS,elkab.com,SA,DIRECT_CUSTOMER,knowledge,,Saudi SMB retail SaaS,unknown,17,LOW,BACKLOG,Founder,LINKEDIN_MANUAL,SMB retailer onboarding,PREPARE_DM,queued,,44,PREPARE_DM
Retailo,B2B Marketplace,retailo.co,SA,DIRECT_CUSTOMER,public_page,https://retailo.co,MENAP retail marketplace,0 tools (SPA),16,LOW,BACKLOG,Co-founder,LINKEDIN_MANUAL,Marketplace merchant motion,PREPARE_DM,queued,,43,PREPARE_DM
SiFi,Corporate Fintech,sifi.co,SA,DIRECT_CUSTOMER,public_page,https://sifi.co,B2B corporate banking,0 tools,16,LOW,BACKLOG,CEO,LINKEDIN_MANUAL,Corporate acquisition angle,PREPARE_DM,queued,,43,PREPARE_DM
Tabby,BNPL Fintech,tabby.ai,AE-SA,DIRECT_CUSTOMER,knowledge,,BNPL fintech,unknown,16,LOW,BACKLOG,CEO,LINKEDIN_MANUAL,Merchant acquisition similar to Tamara,PREPARE_DM,queued,,43,PREPARE_DM
Careem Pay,Fintech,careempay.com,AE,DIRECT_CUSTOMER,knowledge,,Fintech arm of Careem,unknown,16,LOW,BACKLOG,Merchant head,LINKEDIN_MANUAL,Merchant lead response,RESEARCH_MORE,queued,,43,PREPARE_DM
Haraj,Marketplace,haraj.com.sa,SA,DIRECT_CUSTOMER,knowledge,,Saudi classifieds,unknown,16,LOW,BACKLOG,CEO,LINKEDIN_MANUAL,Vendor support automation,RESEARCH_MORE,queued,,43,PREPARE_DM
Mnzil,Proptech,mnzil.co,SA,DIRECT_CUSTOMER,public_page,https://mnzil.co,$11.7M Series A,0 tools (SPA),15,LOW,BACKLOG,Founder,LINKEDIN_MANUAL,Proptech lead qualification,PREPARE_DM,queued,,42,PREPARE_DM
Logexa,Logistics,logexa.com,SA,DIRECT_CUSTOMER,public_page,https://logexa.com,$2M pre-Series A,0 tools,14,LOW,BACKLOG,Founder,LINKEDIN_MANUAL,B2B quote workflow,PREPARE_DM,queued,,41,PREPARE_DM
Aramex,Logistics,aramex.com,AE-SA,DIRECT_CUSTOMER,knowledge,,Regional logistics,unknown,14,LOW,BACKLOG,B2B sales head,LINKEDIN_MANUAL,Quote automation,RESEARCH_MORE,queued,,41,PREPARE_DM
Merit Incentives,HR Tech,meritincentives.com,AE,DIRECT_CUSTOMER,public_page,https://meritincentives.com,HR SaaS MENA,1 tool,11,LOW,BACKLOG,CEO,LINKEDIN_MANUAL,HR Tech B2B sales,PREPARE_DM,queued,,40,PREPARE_DM
